participant_id,video_id,gaze_x,gaze_y,timestamp,video_time
sadsa;l,kisi3video2,510.54,330.07,223427.935,5.228
sadsa;l,kisi3video2,509.22,330.83,223427.968,5.262
sadsa;l,kisi3video2,507.35,331.45,223428.001,5.296
sadsa;l,kisi3video2,504.34,332.86,223428.068,5.346
sadsa;l,kisi3video2,501.08,332.9,223428.101,5.379
sadsa;l,kisi3video2,501.12,333.91,223428.134,5.428
sadsa;l,kisi3video2,499.53,334.03,223428.168,5.462
sadsa;l,kisi3video2,494.96,333.89,223428.234,5.512
sadsa;l,kisi3video2,493.78,333.99,223428.268,5.545
sadsa;l,kisi3video2,493.22,334.2,223428.301,5.595
sadsa;l,kisi3video2,490.15,333.53,223428.334,5.629
sadsa;l,kisi3video2,493.17,335.13,223428.401,5.678
sadsa;l,kisi3video2,495.17,335.7,223428.434,5.713
sadsa;l,kisi3video2,493.7,335.01,223428.467,5.762
sadsa;l,kisi3video2,495.9,335.14,223428.534,5.812
sadsa;l,kisi3video2,497.41,334.91,223428.567,5.862
sadsa;l,kisi3video2,497.78,334.26,223428.601,5.895
sadsa;l,kisi3video2,500.33,333.79,223428.634,5.929
sadsa;l,kisi3video2,512.83,331.25,223428.7,5.978
sadsa;l,kisi4video2,642.88,314.36,223431.698,0.034
sadsa;l,kisi4video2,628.78,306.48,223431.765,0.085
sadsa;l,kisi4video2,624.31,303.91,223431.798,0.135
sadsa;l,kisi4video2,612.83,297.65,223431.864,0.185
sadsa;l,kisi4video2,604.97,293.48,223431.898,0.218
sadsa;l,kisi4video2,603.25,292.77,223431.931,0.268
sadsa;l,kisi4video2,604.11,292.75,223431.998,0.318
sadsa;l,kisi4video2,604.1,290.92,223432.031,0.368
sadsa;l,kisi4video2,610.14,290.94,223432.065,0.401
sadsa;l,kisi4video2,607.72,285.24,223432.131,0.455
sadsa;l,kisi4video2,609.78,283.55,223432.165,0.502
sadsa;l,kisi4video2,786.1,283.6,223432.198,0.535
sadsa;l,kisi4video2,778.34,281.14,223432.265,0.585
sadsa;l,kisi4video2,749.33,277.84,223432.298,0.618
sadsa;l,kisi4video2,755.91,280.19,223432.331,0.652
sadsa;l,kisi4video2,719.4,275.12,223432.365,0.701
sadsa;l,kisi4video2,690.61,272.26,223432.431,0.751
sadsa;l,kisi4video2,435.38,288.93,223432.465,0.785
sadsa;l,kisi4video2,548.24,284.28,223432.498,0.819
sadsa;l,kisi4video2,565.34,284.27,223432.531,0.868
sadsa;l,kisi4video2,577.54,284.66,223432.564,0.902
sadsa;l,kisi4video2,585.86,284.8,223432.605,0.936
sadsa;l,kisi4video2,599.08,278.74,223432.664,0.985
sadsa;l,kisi4video2,608.02,277.36,223432.698,1.034
sadsa;l,kisi4video2,604.59,275.44,223432.731,1.068
sadsa;l,kisi4video2,607.36,275.37,223432.764,1.101
sadsa;l,kisi4video2,607.62,275.0,223432.797,1.135
sadsa;l,kisi4video2,616.31,277.53,223432.864,1.185
sadsa;l,kisi4video2,616.38,277.51,223432.897,1.218
sadsa;l,kisi4video2,615.58,277.42,223432.931,1.252
sadsa;l,kisi4video2,616.24,277.98,223432.964,1.302
sadsa;l,kisi4video2,613.07,277.96,223433.031,1.352
sadsa;l,kisi4video2,607.1,276.68,223433.064,1.401
sadsa;l,kisi4video2,602.98,277.08,223433.13,1.451
sadsa;l,kisi4video2,602.15,277.82,223433.164,1.485
sadsa;l,kisi4video2,600.25,278.29,223433.197,1.518
sadsa;l,kisi4video2,602.8,279.98,223433.23,1.568
sadsa;l,kisi4video2,600.11,280.8,223433.297,1.618
sadsa;l,kisi4video2,601.16,281.86,223433.33,1.652
sadsa;l,kisi4video2,601.27,282.58,223433.364,1.685
sadsa;l,kisi4video2,598.41,282.34,223433.397,1.735
sadsa;l,kisi4video2,595.03,282.59,223433.464,1.785
sadsa;l,kisi4video2,593.78,283.25,223433.497,1.834
sadsa;l,kisi4video2,592.63,283.77,223433.53,1.868
sadsa;l,kisi4video2,594.77,285.1,223433.597,1.918
sadsa;l,kisi4video2,595.8,285.55,223433.63,1.968
sadsa;l,kisi4video2,597.14,286.03,223433.663,2.001
sadsa;l,kisi4video2,597.39,286.05,223433.697,2.035
sadsa;l,kisi4video2,598.21,286.04,223433.763,2.085
sadsa;l,kisi4video2,597.61,285.68,223433.796,2.118
sadsa;l,kisi4video2,599.57,285.79,223433.83,2.155
sadsa;l,kisi4video2,603.43,286.29,223433.863,2.202
sadsa;l,kisi4video2,609.44,286.78,223433.93,2.252
sadsa;l,kisi4video2,613.16,287.0,223433.963,2.301
sadsa;l,kisi4video2,617.4,287.23,223433.996,2.335
sadsa;l,kisi4video2,623.61,287.09,223434.063,2.385
sadsa;l,kisi4video2,627.3,287.15,223434.096,2.435
sadsa;l,kisi4video2,630.8,287.02,223434.129,2.469
sadsa;l,kisi4video2,637.2,286.31,223434.196,2.518
sadsa;l,kisi4video2,640.97,286.09,223434.229,2.552
sadsa;l,kisi4video2,648.69,286.84,223434.263,2.601
sadsa;l,kisi4video2,656.35,287.53,223434.296,2.635
sadsa;l,kisi4video2,670.32,289.31,223434.363,2.685
sadsa;l,kisi4video2,676.14,289.54,223434.396,2.735
sadsa;l,kisi4video2,680.62,289.05,223434.429,2.768
sadsa;l,kisi4video2,686.97,289.44,223434.463,2.802
sadsa;l,kisi4video2,695.87,288.9,223434.529,2.852
sadsa;l,kisi4video2,892.71,296.9,223434.563,2.886
sadsa;l,kisi4video2,928.12,318.22,223434.596,2.935
sadsa;l,kisi4video2,913.24,308.33,223434.663,2.985
sadsa;l,kisi4video2,910.91,307.12,223434.696,3.018
sadsa;l,kisi4video2,903.04,302.41,223434.729,3.052
sadsa;l,kisi4video2,954.49,325.72,223434.763,3.086
sadsa;l,kisi4video2,930.27,312.76,223434.796,3.135
sadsa;l,kisi4video2,964.41,330.42,223434.829,3.169
sadsa;l,kisi4video2,952.62,320.64,223434.896,3.218
sadsa;l,kisi4video2,962.75,325.09,223434.929,3.268
sadsa;l,kisi4video2,964.85,324.59,223434.996,3.318
sadsa;l,kisi4video2,959.01,320.46,223435.029,3.368
sadsa;l,kisi4video2,964.71,323.01,223435.063,3.402
sadsa;l,kisi4video2,957.31,318.85,223435.096,3.435
sadsa;l,kisi4video2,954.86,316.83,223435.163,3.485
sadsa;l,kisi4video2,953.69,315.9,223435.196,3.535
sadsa;l,kisi4video2,953.63,314.54,223435.262,3.585
sadsa;l,kisi4video2,950.24,314.54,223435.296,3.635
sadsa;l,kisi4video2,952.07,316.69,223435.329,3.669
sadsa;l,kisi4video2,948.98,316.38,223435.396,3.718
sadsa;l,kisi4video2,946.95,316.4,223435.429,3.752
sadsa;l,kisi4video2,946.92,318.47,223435.462,3.802
sadsa;l,kisi4video2,942.03,316.42,223435.496,3.836
sadsa;l,kisi4video2,928.33,316.25,223435.562,3.886
sadsa;l,kisi4video2,923.41,316.13,223435.595,3.934
sadsa;l,kisi4video2,918.07,315.55,223435.628,3.968
sadsa;l,kisi4video2,905.93,314.59,223435.695,4.019
sadsa;l,kisi4video2,900.07,314.31,223435.728,4.068
sadsa;l,kisi4video2,887.08,313.34,223435.794,4.118
sadsa;l,kisi4video2,879.48,312.29,223435.828,4.152
sadsa;l,kisi4video2,872.5,311.72,223435.861,4.201
sadsa;l,kisi4video2,866.72,311.78,223435.894,4.235
sadsa;l,kisi4video2,691.86,278.07,223435.928,4.269
sadsa;l,kisi4video2,733.28,293.69,223435.996,4.322
sadsa;l,kisi4video2,723.84,291.85,223436.028,4.371
sadsa;l,kisi4video2,720.15,292.0,223436.094,4.418
sadsa;l,kisi4video2,719.11,292.07,223436.128,4.456
sadsa;l,kisi4video2,718.54,292.42,223436.161,4.504
sadsa;l,kisi4video2,709.39,290.28,223436.228,4.555
sadsa;l,kisi4video2,711.89,291.49,223436.261,4.605
sadsa;l,kisi4video2,713.48,292.83,223436.327,4.652
sadsa;l,kisi4video2,713.54,293.32,223436.361,4.685
sadsa;l,kisi4video2,719.93,295.59,223436.394,4.719
sadsa;l,kisi4video2,719.46,295.85,223436.427,4.753
sadsa;l,kisi4video2,718.68,296.03,223436.461,4.802
sadsa;l,kisi4video2,716.97,295.95,223436.494,4.836
sadsa;l,kisi4video2,717.41,296.93,223436.561,4.885
sadsa;l,kisi4video2,716.74,297.18,223436.594,4.936
sadsa;l,kisi4video2,715.3,297.73,223436.66,4.985
sadsa;l,kisi4video2,713.73,297.85,223436.694,5.019
sadsa;l,kisi4video2,709.65,297.27,223436.727,5.052
sadsa;l,kisi4video2,708.79,297.6,223436.76,5.102
sadsa;l,kisi4video2,711.21,298.92,223436.794,5.136
sadsa;l,kisi4video2,709.0,299.67,223436.86,5.186
sadsa;l,kisi4video2,705.34,299.41,223436.894,5.235
sadsa;l,kisi4video2,700.25,299.56,223436.96,5.286
sadsa;l,kisi4video2,459.42,315.16,223436.994,5.319
